DATE,RESTAURANT,TYPE,DATE_TIME,uid
2013-04-04 00:13:49,Collis Cafe,Supper,2013-04-04 00:13:49,u14
2013-04-04 13:53:53,Novack Cafe,Lunch,2013-04-04 13:53:53,u14
2013-04-04 18:05:52,53 Commons,Supper,2013-04-04 18:05:52,u14
2013-04-04 23:36:43,Collis Cafe,Supper,2013-04-04 23:36:43,u14
2013-04-05 00:17:07,Novack Cafe,Snack,2013-04-05 00:17:07,u14
2013-04-05 11:30:49,Novack Cafe,Lunch,2013-04-05 11:30:49,u14
2013-04-05 20:08:30,Novack Cafe,Supper,2013-04-05 20:08:30,u14
2013-04-06 12:17:38,King Arthur Flour Coffee Bar,Lunch,2013-04-06 12:17:38,u14
2013-04-06 14:11:59,Courtyard Cafe,Lunch,2013-04-06 14:11:59,u14
2013-04-07 18:28:15,Courtyard Cafe,Supper,2013-04-07 18:28:15,u14
2013-04-07 23:20:23,Novack Cafe,Snack,2013-04-07 23:20:23,u14
2013-04-08 09:38:52,Novack Cafe,Snack,2013-04-08 09:38:52,u14
2013-04-08 12:44:58,Collis Cafe,Lunch,2013-04-08 12:44:58,u14
2013-04-08 12:51:06,Novack Cafe,Snack,2013-04-08 12:51:06,u14
2013-04-08 14:50:30,Novack Cafe,Snack,2013-04-08 14:50:30,u14
2013-04-08 17:22:53,Novack Cafe,Supper,2013-04-08 17:22:53,u14
2013-04-08 23:58:22,Collis Cafe,Supper,2013-04-08 23:58:22,u14
2013-04-09 08:04:49,Novack Cafe,Breakfast,2013-04-09 08:04:49,u14
2013-04-09 11:37:26,Novack Cafe,Snack,2013-04-09 11:37:26,u14
2013-04-10 13:47:01,Novack Cafe,Snack,2013-04-10 13:47:01,u14
2013-04-10 15:29:08,Courtyard Cafe,Lunch,2013-04-10 15:29:08,u14
2013-04-10 16:19:30,Collis Cafe,Supper,2013-04-10 16:19:30,u14
2013-04-10 18:08:24,53 Commons,Supper,2013-04-10 18:08:24,u14
2013-04-10 19:59:17,Novack Cafe,Snack,2013-04-10 19:59:17,u14
2013-04-10 23:07:09,Novack Cafe,Supper,2013-04-10 23:07:09,u14
2013-04-11 13:17:48,Novack Cafe,Snack,2013-04-11 13:17:48,u14
2013-04-12 00:51:01,Collis Cafe,Supper,2013-04-12 00:51:01,u14
2013-04-12 11:21:19,Novack Cafe,Lunch,2013-04-12 11:21:19,u14
2013-04-12 23:22:25,Novack Cafe,Supper,2013-04-12 23:22:25,u14
2013-04-13 11:16:37,53 Commons,Lunch,2013-04-13 11:16:37,u14
2013-04-14 01:55:08,Novack Cafe,Snack,2013-04-14 01:55:08,u14
2013-04-14 14:47:05,Novack Cafe,Lunch,2013-04-14 14:47:05,u14
2013-04-14 19:16:57,Courtyard Cafe,Supper,2013-04-14 19:16:57,u14
2013-04-15 08:51:43,Novack Cafe,Breakfast,2013-04-15 08:51:43,u14
2013-04-15 09:36:18,Novack Cafe,Snack,2013-04-15 09:36:18,u14
2013-04-15 12:58:46,Collis Cafe,Lunch,2013-04-15 12:58:46,u14
2013-04-15 18:45:22,Collis Cafe,Supper,2013-04-15 18:45:22,u14
2013-04-15 20:53:54,Collis Market,Snack,2013-04-15 20:53:54,u14
2013-04-16 00:45:45,Collis Cafe,Supper,2013-04-16 00:45:45,u14
2013-04-16 12:53:05,Collis Market,Lunch,2013-04-16 12:53:05,u14
2013-04-16 13:03:18,Collis Cafe,Lunch,2013-04-16 13:03:18,u14
2013-04-16 13:09:34,Novack Cafe,Snack,2013-04-16 13:09:34,u14
2013-04-16 13:51:35,Novack Cafe,Snack,2013-04-16 13:51:35,u14
2013-04-16 20:02:10,Courtyard Cafe,Supper,2013-04-16 20:02:10,u14
2013-04-17 11:23:08,Novack Cafe,Lunch,2013-04-17 11:23:08,u14
2013-04-17 20:23:08,King Arthur Flour Coffee Bar,Supper,2013-04-17 20:23:08,u14
2013-04-18 00:28:58,Collis Cafe,Snack,2013-04-18 00:28:58,u14
2013-04-18 13:15:31,Collis Cafe,Lunch,2013-04-18 13:15:31,u14
2013-04-19 00:17:13,Courtyard Cafe,Supper,2013-04-19 00:17:13,u14
2013-04-19 14:48:45,Collis Cafe,Lunch,2013-04-19 14:48:45,u14
2013-04-19 19:53:34,Courtyard Cafe,Supper,2013-04-19 19:53:34,u14
2013-04-20 00:53:24,Collis Cafe,Snack,2013-04-20 00:53:24,u14
2013-04-20 12:08:24,53 Commons,Lunch,2013-04-20 12:08:24,u14
2013-04-20 15:15:48,Novack Cafe,Lunch,2013-04-20 15:15:48,u14
2013-04-20 18:16:10,King Arthur Flour Coffee Bar,Supper,2013-04-20 18:16:10,u14
2013-04-20 22:01:48,Novack Cafe,Snack,2013-04-20 22:01:48,u14
2013-04-22 00:17:51,Novack Cafe,Supper,2013-04-22 00:17:51,u14
2013-04-22 11:29:31,Collis Cafe,Lunch,2013-04-22 11:29:31,u14
2013-04-22 14:54:38,Novack Cafe,Snack,2013-04-22 14:54:38,u14
2013-04-22 19:16:12,53 Commons,Supper,2013-04-22 19:16:12,u14
2013-04-22 23:50:13,Collis Cafe,Snack,2013-04-22 23:50:13,u14
2013-04-23 12:59:09,Novack Cafe,Lunch,2013-04-23 12:59:09,u14
2013-04-23 18:43:27,Collis Cafe,Supper,2013-04-23 18:43:27,u14
2013-04-24 10:46:32,Novack Cafe,Snack,2013-04-24 10:46:32,u14
2013-04-24 19:19:19,Courtyard Cafe,Supper,2013-04-24 19:19:19,u14
2013-04-25 23:31:42,Courtyard Cafe,Supper,2013-04-25 23:31:42,u14
2013-04-26 11:42:43,Novack Cafe,Lunch,2013-04-26 11:42:43,u14
2013-04-28 16:32:13,Courtyard Cafe,Supper,2013-04-28 16:32:13,u14
2013-04-29 11:08:15,Novack Cafe,Lunch,2013-04-29 11:08:15,u14
2013-04-29 20:51:01,Courtyard Cafe,Supper,2013-04-29 20:51:01,u14
2013-04-30 08:18:58,Novack Cafe,Snack,2013-04-30 08:18:58,u14
2013-04-30 12:55:34,Collis Cafe,Lunch,2013-04-30 12:55:34,u14
2013-04-30 19:32:09,Collis Cafe,Supper,2013-04-30 19:32:09,u14
2013-05-01 00:32:26,Courtyard Cafe,Supper,2013-05-01 00:32:26,u14
2013-05-01 11:30:25,Novack Cafe,Lunch,2013-05-01 11:30:25,u14
2013-05-01 18:32:52,Courtyard Cafe,Supper,2013-05-01 18:32:52,u14
2013-05-01 22:42:32,Courtyard Cafe,Supper,2013-05-01 22:42:32,u14
2013-05-02 13:50:30,Novack Cafe,Lunch,2013-05-02 13:50:30,u14
2013-05-02 19:23:27,Courtyard Cafe,Supper,2013-05-02 19:23:27,u14
2013-05-03 11:34:56,Collis Cafe,Lunch,2013-05-03 11:34:56,u14
2013-05-04 16:49:01,Novack Cafe,Snack,2013-05-04 16:49:01,u14
2013-05-04 18:54:52,Courtyard Cafe,Supper,2013-05-04 18:54:52,u14
2013-05-04 22:02:50,Novack Cafe,Supper,2013-05-04 22:02:50,u14
2013-05-04 23:02:04,Novack Cafe,Snack,2013-05-04 23:02:04,u14
2013-05-05 17:43:32,Courtyard Cafe,Supper,2013-05-05 17:43:32,u14
2013-05-06 09:34:25,Novack Cafe,Snack,2013-05-06 09:34:25,u14
2013-05-06 11:13:05,Novack Cafe,Lunch,2013-05-06 11:13:05,u14
2013-05-06 13:39:24,Collis Cafe,Lunch,2013-05-06 13:39:24,u14
2013-05-06 19:18:44,Collis Cafe,Supper,2013-05-06 19:18:44,u14
2013-05-06 23:50:43,Collis Cafe,Supper,2013-05-06 23:50:43,u14
2013-05-07 16:09:58,Courtyard Cafe,Supper,2013-05-07 16:09:58,u14
2013-05-07 22:29:12,Courtyard Cafe,Supper,2013-05-07 22:29:12,u14
2013-05-10 12:10:40,Collis Cafe,Lunch,2013-05-10 12:10:40,u14
2013-05-10 14:59:57,Collis Market,Snack,2013-05-10 14:59:57,u14
2013-05-11 12:22:48,Courtyard Cafe,Lunch,2013-05-11 12:22:48,u14
2013-05-11 15:02:20,Novack Cafe,Snack,2013-05-11 15:02:20,u14
2013-05-12 20:02:58,Collis Market,Snack,2013-05-12 20:02:58,u14
2013-05-12 20:20:58,Courtyard Cafe,Supper,2013-05-12 20:20:58,u14
2013-05-13 12:50:45,Collis Market,Snack,2013-05-13 12:50:45,u14
2013-05-13 12:52:08,Collis Cafe,Lunch,2013-05-13 12:52:08,u14
2013-05-13 19:07:22,53 Commons,Supper,2013-05-13 19:07:22,u14
2013-05-14 12:50:02,Courtyard Cafe,Lunch,2013-05-14 12:50:02,u14
2013-05-14 14:28:31,Collis Market,Snack,2013-05-14 14:28:31,u14
2013-05-14 18:39:21,Courtyard Cafe,Supper,2013-05-14 18:39:21,u14
2013-05-14 21:38:55,Collis Market,Supper,2013-05-14 21:38:55,u14
2013-05-15 09:49:43,Novack Cafe,Snack,2013-05-15 09:49:43,u14
2013-05-15 10:51:12,Collis Cafe,Breakfast,2013-05-15 10:51:12,u14
2013-05-15 11:08:55,Collis Market,Snack,2013-05-15 11:08:55,u14
2013-05-17 10:19:26,King Arthur Flour Coffee Bar,Breakfast,2013-05-17 10:19:26,u14
2013-05-17 13:16:44,Collis Cafe,Lunch,2013-05-17 13:16:44,u14
2013-05-18 19:07:34,Courtyard Cafe,Supper,2013-05-18 19:07:34,u14
2013-05-19 12:58:52,Novack Cafe,Lunch,2013-05-19 12:58:52,u14
2013-05-19 19:29:19,Courtyard Cafe,Supper,2013-05-19 19:29:19,u14
2013-05-20 12:00:42,Collis Market,Snack,2013-05-20 12:00:42,u14
2013-05-20 12:03:47,Collis Cafe,Lunch,2013-05-20 12:03:47,u14
2013-05-20 12:11:10,Novack Cafe,Snack,2013-05-20 12:11:10,u14
2013-05-21 12:24:38,Novack Cafe,Lunch,2013-05-21 12:24:38,u14
2013-05-21 15:53:03,Collis Market,Snack,2013-05-21 15:53:03,u14
2013-05-21 15:55:40,Collis Cafe,Lunch,2013-05-21 15:55:40,u14
2013-05-22 00:35:20,Courtyard Cafe,Supper,2013-05-22 00:35:20,u14
2013-05-23 12:39:34,Novack Cafe,Lunch,2013-05-23 12:39:34,u14
2013-05-23 18:28:16,Collis Cafe,Supper,2013-05-23 18:28:16,u14
2013-05-24 13:56:12,Collis Market,Snack,2013-05-24 13:56:12,u14
2013-05-24 13:57:17,Collis Cafe,Lunch,2013-05-24 13:57:17,u14
2013-05-25 12:43:23,Collis Market,Lunch,2013-05-25 12:43:23,u14
2013-05-25 20:52:00,Courtyard Cafe,Supper,2013-05-25 20:52:00,u14
2013-05-27 13:33:57,Collis Cafe,Lunch,2013-05-27 13:33:57,u14
2013-05-27 13:40:27,Novack Cafe,Snack,2013-05-27 13:40:27,u14
2013-05-27 17:59:03,Novack Cafe,Supper,2013-05-27 17:59:03,u14
2013-05-28 09:13:20,Novack Cafe,Breakfast,2013-05-28 09:13:20,u14
2013-05-28 14:02:40,Collis Market,Snack,2013-05-28 14:02:40,u14
2013-05-28 14:06:57,Collis Cafe,Lunch,2013-05-28 14:06:57,u14
2013-05-28 20:57:49,Courtyard Cafe,Supper,2013-05-28 20:57:49,u14
2013-05-29 11:36:38,Novack Cafe,Lunch,2013-05-29 11:36:38,u14
2013-05-30 15:07:44,Collis Market,Snack,2013-05-30 15:07:44,u14
2013-05-30 15:12:28,Collis Cafe,Lunch,2013-05-30 15:12:28,u14
2013-05-30 21:50:06,Novack Cafe,Snack,2013-05-30 21:50:06,u14
2013-06-02 07:13:35,Novack Cafe,Breakfast,2013-06-02 07:13:35,u14
2013-06-02 12:25:39,Courtyard Cafe,Lunch,2013-06-02 12:25:39,u14
2013-06-03 01:43:40,Novack Cafe,Supper,2013-06-03 01:43:40,u14
2013-06-03 07:29:34,Novack Cafe,Breakfast,2013-06-03 07:29:34,u14
2013-06-03 17:17:19,Collis Cafe,Supper,2013-06-03 17:17:19,u14
2013-01-06 17:42:49,53 Commons,Supper,2013-01-06 17:42:49,u01
2013-01-07 09:32:57,Novack Cafe,Breakfast,2013-01-07 09:32:57,u01
2013-01-07 14:16:07,Courtyard Cafe,Lunch,2013-01-07 14:16:07,u01
2013-01-08 12:51:22,Courtyard Cafe,Lunch,2013-01-08 12:51:22,u01
2013-01-09 13:46:44,King Arthur Flour Coffee Bar,Lunch,2013-01-09 13:46:44,u01
2013-01-09 18:33:18,Collis Cafe,Supper,2013-01-09 18:33:18,u01
2013-01-10 17:57:07,53 Commons,Supper,2013-01-10 17:57:07,u01
2013-01-11 10:39:39,King Arthur Flour Coffee Bar,Snack,2013-01-11 10:39:39,u01
2013-01-11 14:01:56,Courtyard Cafe,Lunch,2013-01-11 14:01:56,u01
2013-01-15 11:58:29,Courtyard Cafe,Snack,2013-01-15 11:58:29,u01
2013-01-15 13:07:26,Courtyard Cafe,Lunch,2013-01-15 13:07:26,u01
2013-01-15 19:10:11,53 Commons,Supper,2013-01-15 19:10:11,u01
2013-01-16 11:04:00,Courtyard Cafe,Lunch,2013-01-16 11:04:00,u01
2013-01-16 13:38:13,King Arthur Flour Coffee Bar,Snack,2013-01-16 13:38:13,u01
2013-01-17 12:10:04,Courtyard Cafe,Lunch,2013-01-17 12:10:04,u01
2013-01-18 08:51:10,King Arthur Flour Coffee Bar,Breakfast,2013-01-18 08:51:10,u01
2013-01-18 12:08:09,Courtyard Cafe,Lunch,2013-01-18 12:08:09,u01
2013-01-19 14:04:51,Courtyard Cafe,Lunch,2013-01-19 14:04:51,u01
2013-01-21 11:57:26,Courtyard Cafe,Lunch,2013-01-21 11:57:26,u01
2013-01-21 14:03:13,Courtyard Cafe,Snack,2013-01-21 14:03:13,u01
2013-01-22 11:53:25,Courtyard Cafe,Snack,2013-01-22 11:53:25,u01
2013-01-22 13:18:12,Collis Cafe,Lunch,2013-01-22 13:18:12,u01
2013-01-23 13:45:02,Collis Cafe,Lunch,2013-01-23 13:45:02,u01
2013-01-24 12:35:23,Novack Cafe,Lunch,2013-01-24 12:35:23,u01
2013-01-24 14:21:06,Collis Market,Snack,2013-01-24 14:21:06,u01
2013-01-24 15:05:32,Courtyard Cafe,Lunch,2013-01-24 15:05:32,u01
2013-01-24 18:29:34,53 Commons,Supper,2013-01-24 18:29:34,u01
2013-01-25 08:54:45,King Arthur Flour Coffee Bar,Breakfast,2013-01-25 08:54:45,u01
2013-01-25 17:06:55,Courtyard Cafe,Supper,2013-01-25 17:06:55,u01
2013-01-26 11:08:23,Courtyard Cafe,Lunch,2013-01-26 11:08:23,u01
2013-01-26 23:45:30,Courtyard Cafe,Supper,2013-01-26 23:45:30,u01
2013-01-27 11:00:55,Courtyard Cafe,Lunch,2013-01-27 11:00:55,u01
2013-01-27 15:20:20,Courtyard Cafe,Snack,2013-01-27 15:20:20,u01
2013-01-28 11:10:42,Courtyard Cafe,Lunch,2013-01-28 11:10:42,u01
2013-01-28 13:34:18,King Arthur Flour Coffee Bar,Lunch,2013-01-28 13:34:18,u01
2013-01-29 12:45:31,53 Commons,Lunch,2013-01-29 12:45:31,u01
2013-01-30 12:04:02,Courtyard Cafe,Lunch,2013-01-30 12:04:02,u01
2013-01-30 19:43:46,53 Commons,Supper,2013-01-30 19:43:46,u01
2013-01-31 16:57:02,Courtyard Cafe,Supper,2013-01-31 16:57:02,u01
2013-01-31 17:31:16,Courtyard Cafe,Supper,2013-01-31 17:31:16,u01
2013-02-01 11:02:49,Courtyard Cafe,Lunch,2013-02-01 11:02:49,u01
2013-02-01 17:54:47,Courtyard Cafe,Supper,2013-02-01 17:54:47,u01
2013-02-01 20:05:36,Courtyard Cafe,Supper,2013-02-01 20:05:36,u01
2013-02-04 14:14:56,King Arthur Flour Coffee Bar,Lunch,2013-02-04 14:14:56,u01
2013-02-04 18:35:09,53 Commons,Supper,2013-02-04 18:35:09,u01
2013-02-05 08:48:37,King Arthur Flour Coffee Bar,Snack,2013-02-05 08:48:37,u01
2013-02-05 18:21:40,53 Commons,Supper,2013-02-05 18:21:40,u01
2013-02-06 09:29:27,King Arthur Flour Coffee Bar,Breakfast,2013-02-06 09:29:27,u01
2013-02-06 12:07:15,Courtyard Cafe,Snack,2013-02-06 12:07:15,u01
2013-02-07 14:17:40,King Arthur Flour Coffee Bar,Snack,2013-02-07 14:17:40,u01
2013-02-07 15:42:56,Courtyard Cafe,Snack,2013-02-07 15:42:56,u01
2013-02-07 17:14:22,Courtyard Cafe,Snack,2013-02-07 17:14:22,u01
2013-02-08 09:59:22,Collis Cafe,Breakfast,2013-02-08 09:59:22,u01
2013-02-08 13:37:34,Courtyard Cafe,Lunch,2013-02-08 13:37:34,u01
2013-02-10 17:49:14,Courtyard Cafe,Snack,2013-02-10 17:49:14,u01
2013-02-10 19:24:45,Courtyard Cafe,Supper,2013-02-10 19:24:45,u01
2013-02-11 11:05:34,Courtyard Cafe,Lunch,2013-02-11 11:05:34,u01
2013-02-11 13:49:21,Courtyard Cafe,Lunch,2013-02-11 13:49:21,u01
2013-02-12 09:58:10,King Arthur Flour Coffee Bar,Breakfast,2013-02-12 09:58:10,u01
2013-02-12 13:13:13,53 Commons,Lunch,2013-02-12 13:13:13,u01
2013-02-12 18:40:05,Courtyard Cafe,Supper,2013-02-12 18:40:05,u01
2013-02-13 11:11:00,Courtyard Cafe,Snack,2013-02-13 11:11:00,u01
2013-02-13 12:04:12,53 Commons,Lunch,2013-02-13 12:04:12,u01
2013-02-14 18:32:46,Courtyard Cafe,Supper,2013-02-14 18:32:46,u01
2013-02-15 11:10:41,Courtyard Cafe,Snack,2013-02-15 11:10:41,u01
2013-02-15 14:43:03,Courtyard Cafe,Lunch,2013-02-15 14:43:03,u01
2013-02-16 11:47:41,King Arthur Flour Coffee Bar,Lunch,2013-02-16 11:47:41,u01
2013-02-16 20:46:28,Courtyard Cafe,Supper,2013-02-16 20:46:28,u01
2013-02-17 11:52:58,Courtyard Cafe,Lunch,2013-02-17 11:52:58,u01
2013-02-17 18:17:53,53 Commons,Supper,2013-02-17 18:17:53,u01
2013-02-18 13:44:34,53 Commons,Lunch,2013-02-18 13:44:34,u01
2013-02-18 18:54:23,53 Commons,Supper,2013-02-18 18:54:23,u01
2013-02-18 21:38:02,Novack Cafe,Snack,2013-02-18 21:38:02,u01
2013-02-19 18:31:06,53 Commons,Supper,2013-02-19 18:31:06,u01
2013-02-20 11:10:26,Courtyard Cafe,Lunch,2013-02-20 11:10:26,u01
2013-02-21 13:06:47,King Arthur Flour Coffee Bar,Lunch,2013-02-21 13:06:47,u01
2013-02-21 18:16:22,Courtyard Cafe,Supper,2013-02-21 18:16:22,u01
2013-02-22 11:14:48,Courtyard Cafe,Snack,2013-02-22 11:14:48,u01
2013-02-22 12:16:53,Courtyard Cafe,Lunch,2013-02-22 12:16:53,u01
2013-02-25 18:24:40,53 Commons,Supper,2013-02-25 18:24:40,u01
2013-02-26 09:29:13,King Arthur Flour Coffee Bar,Breakfast,2013-02-26 09:29:13,u01
2013-02-26 19:37:46,53 Commons,Supper,2013-02-26 19:37:46,u01
2013-02-27 12:14:07,Courtyard Cafe,Lunch,2013-02-27 12:14:07,u01
2013-02-28 19:15:04,Collis Cafe,Supper,2013-02-28 19:15:04,u01
2013-03-01 11:04:09,Courtyard Cafe,Snack,2013-03-01 11:04:09,u01
2013-03-02 18:59:41,Novack Cafe,Supper,2013-03-02 18:59:41,u01
2013-03-03 12:28:15,King Arthur Flour Coffee Bar,Lunch,2013-03-03 12:28:15,u01
2013-03-03 13:25:21,King Arthur Flour Coffee Bar,Lunch,2013-03-03 13:25:21,u01
2013-03-03 16:43:07,King Arthur Flour Coffee Bar,Snack,2013-03-03 16:43:07,u01
2013-03-03 18:57:38,King Arthur Flour Coffee Bar,Supper,2013-03-03 18:57:38,u01
2013-03-03 19:43:07,Courtyard Cafe,Supper,2013-03-03 19:43:07,u01
2013-03-04 14:08:17,53 Commons,Lunch,2013-03-04 14:08:17,u01
2013-03-05 13:25:10,King Arthur Flour Coffee Bar,Lunch,2013-03-05 13:25:10,u01
2013-03-05 19:12:51,53 Commons,Supper,2013-03-05 19:12:51,u01
2013-03-06 11:56:03,King Arthur Flour Coffee Bar,Lunch,2013-03-06 11:56:03,u01
2013-03-06 18:58:13,Collis Cafe,Supper,2013-03-06 18:58:13,u01
2013-03-07 19:35:39,53 Commons,Supper,2013-03-07 19:35:39,u01
2013-03-08 09:27:49,King Arthur Flour Coffee Bar,Breakfast,2013-03-08 09:27:49,u01
2013-03-08 12:21:10,Courtyard Cafe,Snack,2013-03-08 12:21:10,u01
2013-03-08 19:49:19,Courtyard Cafe,Supper,2013-03-08 19:49:19,u01
2013-03-08 23:20:53,Courtyard Cafe,Snack,2013-03-08 23:20:53,u01
2013-03-09 13:04:18,King Arthur Flour Coffee Bar,Lunch,2013-03-09 13:04:18,u01
2013-03-09 15:09:51,King Arthur Flour Coffee Bar,Lunch,2013-03-09 15:09:51,u01
2013-03-09 18:55:41,53 Commons,Supper,2013-03-09 18:55:41,u01
2013-03-10 16:56:48,Concessions,Snack,2013-03-10 16:56:48,u01
2013-03-10 18:20:48,Concessions,Snack,2013-03-10 18:20:48,u01
2013-03-10 18:56:04,Concessions,Snack,2013-03-10 18:56:04,u01
2013-03-11 19:51:09,Courtyard Cafe,Supper,2013-03-11 19:51:09,u01
2013-03-12 22:27:06,Novack Cafe,Snack,2013-03-12 22:27:06,u01
2013-03-13 18:47:20,53 Commons,Supper,2013-03-13 18:47:20,u01
2013-03-14 13:48:09,King Arthur Flour Coffee Bar,Lunch,2013-03-14 13:48:09,u01
2013-03-14 15:34:48,Collis Cafe,Snack,2013-03-14 15:34:48,u01
2013-03-15 14:00:03,Novack Cafe,Lunch,2013-03-15 14:00:03,u01
2013-03-15 14:20:20,Courtyard Cafe,Lunch,2013-03-15 14:20:20,u01
2013-03-15 15:13:11,Courtyard Cafe,Lunch,2013-03-15 15:13:11,u01
2013-03-24 14:38:30,King Arthur Flour Coffee Bar,Lunch,2013-03-24 14:38:30,u01
2013-03-24 18:58:06,53 Commons,Supper,2013-03-24 18:58:06,u01
2013-03-25 12:36:21,53 Commons,Lunch,2013-03-25 12:36:21,u01
2013-03-25 22:54:22,Collis Cafe,Supper,2013-03-25 22:54:22,u01
2013-03-26 14:28:13,Collis Cafe,Lunch,2013-03-26 14:28:13,u01
2013-03-27 12:22:11,53 Commons,Lunch,2013-03-27 12:22:11,u01
2013-03-27 20:19:18,Courtyard Cafe,Supper,2013-03-27 20:19:18,u01
2013-03-28 13:21:31,Courtyard Cafe,Lunch,2013-03-28 13:21:31,u01
2013-03-28 19:39:28,Collis Cafe,Supper,2013-03-28 19:39:28,u01
2013-03-29 12:41:49,Courtyard Cafe,Lunch,2013-03-29 12:41:49,u01
2013-03-29 16:13:04,Courtyard Cafe,Snack,2013-03-29 16:13:04,u01
2013-03-29 19:32:01,53 Commons,Supper,2013-03-29 19:32:01,u01
2013-03-30 12:08:45,King Arthur Flour Coffee Bar,Lunch,2013-03-30 12:08:45,u01
2013-04-01 12:42:56,Courtyard Cafe,Lunch,2013-04-01 12:42:56,u01
2013-04-01 16:42:43,King Arthur Flour Coffee Bar,Snack,2013-04-01 16:42:43,u01
2013-04-01 16:44:44,Novack Cafe,Snack,2013-04-01 16:44:44,u01
2013-04-02 13:00:31,53 Commons,Lunch,2013-04-02 13:00:31,u01
2013-04-02 20:16:49,Courtyard Cafe,Snack,2013-04-02 20:16:49,u01
2013-04-03 12:58:42,King Arthur Flour Coffee Bar,Lunch,2013-04-03 12:58:42,u01
2013-04-04 11:40:50,Novack Cafe,Snack,2013-04-04 11:40:50,u01
2013-04-04 13:03:11,Courtyard Cafe,Snack,2013-04-04 13:03:11,u01
2013-04-04 19:28:03,Collis Cafe,Supper,2013-04-04 19:28:03,u01
2013-04-05 10:56:58,Novack Cafe,Breakfast,2013-04-05 10:56:58,u01
2013-04-05 15:21:53,Novack Cafe,Lunch,2013-04-05 15:21:53,u01
2013-04-06 14:16:29,Courtyard Cafe,Lunch,2013-04-06 14:16:29,u01
2013-04-06 18:08:14,53 Commons,Supper,2013-04-06 18:08:14,u01
2013-04-08 12:34:08,53 Commons,Lunch,2013-04-08 12:34:08,u01
2013-04-08 16:35:10,Courtyard Cafe,Supper,2013-04-08 16:35:10,u01
2013-04-08 19:10:36,Collis Cafe,Supper,2013-04-08 19:10:36,u01
2013-04-08 21:56:03,Novack Cafe,Snack,2013-04-08 21:56:03,u01
2013-04-08 22:14:27,Courtyard Cafe,Snack,2013-04-08 22:14:27,u01
